GroundTruth,GeneratedAnswer,SemanticSimilarity
"Do not combine AFINITOR and AFINITOR DISPERZ to achieve the total 
daily dose. (2.1) 
Modify the dose for patients with hepatic impairment or for patients taking 
drugs that inhibit or induce P-glycoprotein (P-gp) and CYP3A4. (2.1) 
Breast Cancer: 
• 10 mg orally once daily. (2.2) 
NET: 
•  10 mg orally once daily. (2.3) 
RCC: 
•  10 mg orally once daily. (2.4) 
TSC-Associated Renal Angiomyolipoma: 
•  10 mg orally once daily. (2.5) 
TSC-Associated SEGA: 
•  4.5 mg/m2 orally once daily; adjust dose to attain trough concentrations of 
5-15 ng/mL. (2.6, 2.8) 
TSC-Associated Partial-Onset Seizures: 
•  5 mg/m2 orally once daily; adjust dose to attain trough concentrations of 5­
15 ng/mL. (2.7, 2.8)","The dosage for AFINITOR varies depending on the condition being treated:

Breast cancer, NET, RCC, TSC-Associated Renal Angiomyolipoma: 10 mg orally once daily.
TSC-Associated SEGA: 4.5 mg/m2 orally once daily; adjust dose to attain trough concentrations of 5-15 ng/mL.
TSC-Associated Partial-Onset Seizures: 5 mg/m2 orally once daily; adjust dose to attain trough concentrations of 5-15 ng/mL.",0.8233004808425903
"Non-Infectious Pneumonitis: Monitor for clinical symptoms or radiological 
changes. Withhold or permanently discontinue based on severity. (2.9, 5.1) 
•  Infections: Monitor for signs and symptoms of infection. Withhold or 
permanently discontinue based on severity. (2.9, 5.2) 
•  Severe Hypersensitivity Reactions: Permanently discontinue for clinically 
significant hypersensitivity. (5.3) 
•  Angioedema: Patients taking concomitant angiotensin-converting-enzyme 
(ACE) inhibitors may be at increased risk for angioedema. Permanently 
discontinue for angioedema. (5.4, 7.2) 
•  Stomatitis: Initiate dexamethasone alcohol-free mouthwash when starting 
treatment. (5.5, 6.1) 
•  Renal Failure: Monitor renal function prior to treatment and periodically 
thereafter. (5.6) 
•  Risk of Impaired Wound Healing: Withhold for at least 1 week prior to 
elective surgery. Do not administer for at least 2 weeks following major 
surgery and until adequate wound healing. The safety of resumption of 
treatment after resolution of wound healing complications has not been 
established. (5.7) 
•  Geriatric Patients: Monitor and adjust dose for adverse reactions. (5.8) 
•  Metabolic Disorders: Monitor serum glucose and lipids prior to treatment 
and periodically thereafter. Withhold or permanently discontinue based on 
severity. (2.9, 5.9) 
•  Myelosuppression: Monitor hematologic parameters prior to treatment and 
periodically thereafter. Withhold or permanently discontinue based on 
severity. (2.9, 5.10) 
•  Risk of Infection or Reduced Immune Response with Vaccination: Avoid 
live vaccines and close contact with those who have received live vaccines. 
Complete recommended childhood vaccinations prior to starting treatment. 
(5.11) 
•  Radiation Sensitization and Radiation Recall: Severe radiation reactions 
may occur. (5.12, 6.2) 
•  Embryo-Fetal Toxicity: Can cause fetal harm. Advise patients of 
reproductive potential of the potential risk to a fetus and to use effective 
contraception. (5.13, 8.1, 8.3)","The warnings for AFINITOR include non-infectious pneumonitis, infections, severe hypersensitivity reactions, angioedema, stomatitis, renal failure, risk of impaired wound healing, monitoring metabolic disorders, myelosuppression, risk of infection or reduced immune response with vaccination, radiation sensitization and recall, and embryo-fetal toxicity.",0.5508416891098022
"Non-Infectious Pneumonitis: Monitor for clinical symptoms or radiological 
changes. Withhold or permanently discontinue based on severity. (2.9, 5.1) 
•  Infections: Monitor for signs and symptoms of infection. Withhold or 
permanently discontinue based on severity. (2.9, 5.2) 
•  Severe Hypersensitivity Reactions: Permanently discontinue for clinically 
significant hypersensitivity. (5.3) 
•  Angioedema: Patients taking concomitant angiotensin-converting-enzyme 
(ACE) inhibitors may be at increased risk for angioedema. Permanently 
discontinue for angioedema. (5.4, 7.2) 
•  Stomatitis: Initiate dexamethasone alcohol-free mouthwash when starting 
treatment. (5.5, 6.1) 
•  Renal Failure: Monitor renal function prior to treatment and periodically 
thereafter. (5.6) 
•  Risk of Impaired Wound Healing: Withhold for at least 1 week prior to 
elective surgery. Do not administer for at least 2 weeks following major 
surgery and until adequate wound healing. The safety of resumption of 
treatment after resolution of wound healing complications has not been 
established. (5.7) 
•  Geriatric Patients: Monitor and adjust dose for adverse reactions. (5.8) 
•  Metabolic Disorders: Monitor serum glucose and lipids prior to treatment 
and periodically thereafter. Withhold or permanently discontinue based on 
severity. (2.9, 5.9) 
•  Myelosuppression: Monitor hematologic parameters prior to treatment and 
periodically thereafter. Withhold or permanently discontinue based on 
severity. (2.9, 5.10) 
•  Risk of Infection or Reduced Immune Response with Vaccination: Avoid 
live vaccines and close contact with those who have received live vaccines. 
Complete recommended childhood vaccinations prior to starting treatment. 
(5.11) 
•  Radiation Sensitization and Radiation Recall: Severe radiation reactions 
may occur. (5.12, 6.2) 
•  Embryo-Fetal Toxicity: Can cause fetal harm. Advise patients of 
reproductive potential of the potential risk to a fetus and to use effective 
contraception. (5.13, 8.1, 8.3)","The precautions for AFINITOR include monitoring for non-infectious pneumonitis, infections, severe hypersensitivity reactions, angioedema, stomatitis, renal failure, risk of impaired wound healing, monitoring geriatric patients, metabolic disorders, myelosuppression, risk of infection or reduced immune response with vaccination, radiation sensitization and recall, and embryo-fetal toxicity. It is important to follow the specific guidelines provided in the document for each precaution.",0.5623043179512024
"Breast cancer, NET, RCC: Most common adverse reactions (incidence 
? 30%) include stomatitis, infections, rash, fatigue, diarrhea, edema, 
abdominal pain, nausea, fever, asthenia, cough, headache, and decreased 
appetite. (6.1) 
•  TSC-Associated Renal Angiomyolipoma: Most common adverse reaction 
(incidence ? 30%) is stomatitis. (6.1) 
•  TSC-Associated SEGA: Most common adverse reactions (incidence ? 
30%) are stomatitis and respiratory tract infection. (6.1) 
•  TSC-Associated Partial-Onset Seizures: Most common adverse reaction 
(incidence ? 30%) is stomatitis. (6.1) 
To report SUSPECTED ADVERSE REACTIONS, contact Novartis 
Pharmaceuticals Corporation at 1-888-669-6682 or FDA at 1-800-FDA­
1088 or www.fda.gov/medwatch.","Adverse reactions associated with AFINITOR include stomatitis, infections, rash, fatigue, diarrhea, edema, abdominal pain, nausea, fever, asthenia, cough, headache, decreased appetite, and respiratory tract infection.",0.5022672414779663
"Breast cancer, NET, RCC: Most common adverse reactions (incidence 
? 30%) include stomatitis, infections, rash, fatigue, diarrhea, edema, 
abdominal pain, nausea, fever, asthenia, cough, headache, and decreased 
appetite. (6.1) 
•  TSC-Associated Renal Angiomyolipoma: Most common adverse reaction 
(incidence ? 30%) is stomatitis. (6.1) 
•  TSC-Associated SEGA: Most common adverse reactions (incidence ? 
30%) are stomatitis and respiratory tract infection. (6.1) 
•  TSC-Associated Partial-Onset Seizures: Most common adverse reaction 
(incidence ? 30%) is stomatitis. (6.1) 
To report SUSPECTED ADVERSE REACTIONS, contact Novartis 
Pharmaceuticals Corporation at 1-888-669-6682 or FDA at 1-800-FDA­
1088 or www.fda.gov/medwatch.","The document lists the following common adverse reactions associated with AFINITOR:

Stomatitis
Infections
Rash
Fatigue
Diarrhea
Edema
Abdominal pain
Nausea
Fever
Asthenia
Cough
Headache
Decreased appetite
It also mentions that the most common adverse reaction for TSC-Associated Renal Angiomyolipoma, TSC-Associated SEGA, and TSC-Associated Partial-Onset Seizures is stomatitis.",0.732572615146637
"P-gp and strong CYP3A4 inhibitors: Avoid concomitant use. (2.11, 7.1) 
•  P-gp and moderate CYP3A4 inhibitors: Reduce the dose as recommended. 
(2.11, 7.1) 
•  P-gp and strong CYP3A4 inducers: Increase the dose as recommended. 
(2.12, 7.1)","The document contains information on drug interactions with AFINITOR:

Avoid concomitant use of P-gp and strong CYP3A4 inhibitors.
Reduce the dose as recommended when using P-gp and moderate CYP3A4 inhibitors.
Increase the dose as recommended when using P-gp and strong CYP3A4 inducers.",0.7039594054222107
"ARIMIDEX is an aromatase inhibitor indicated for: 
• 
Adjuvant treatment of postmenopausal women with hormone receptor-
positive early breast cancer (1.1) 
• 
First-line treatment of postmenopausal women with hormone receptor-
positive or hormone receptor unknown locally advanced or metastatic 
breast cancer (1.2) 
• 
Treatment of advanced breast cancer in postmenopausal women with 
disease progression following tamoxifen therapy. Patients with ER-
negative disease and patients who did not respond to previous tamoxifen 
therapy rarely responded to ARIMIDEX (1.3)","The indications for ARIMIDEX are:

Adjuvant treatment of postmenopausal women with hormone receptor-positive early breast cancer.
First-line treatment of postmenopausal women with hormone receptor-positive or hormone receptor unknown locally advanced or metastatic breast cancer.
Treatment of advanced breast cancer in postmenopausal women with disease progression following tamoxifen therapy.",0.8767298460006714
"ARIMIDEX is an aromatase inhibitor indicated for: 
• 
Adjuvant treatment of postmenopausal women with hormone receptor-
positive early breast cancer (1.1) 
• 
First-line treatment of postmenopausal women with hormone receptor-
positive or hormone receptor unknown locally advanced or metastatic 
breast cancer (1.2) 
• 
Treatment of advanced breast cancer in postmenopausal women with 
disease progression following tamoxifen therapy. Patients with ER-
negative disease and patients who did not respond to previous tamoxifen 
therapy rarely responded to ARIMIDEX (1.3)","The usage of ARIMIDEX includes adjuvant treatment of postmenopausal women with hormone receptor-positive early breast cancer, first-line treatment of postmenopausal women with hormone receptor-positive or hormone receptor unknown locally advanced or metastatic breast cancer, and treatment of advanced breast cancer in postmenopausal women with disease progression following tamoxifen therapy.",0.8842939138412476
One 1 mg tablet taken once daily (2.1),One 1 mg tablet taken once daily.,0.9504975080490112
"In women with pre-existing ischemic heart disease, an increased 
incidence of ischemic cardiovascular events occurred with ARIMIDEX 
use compared to tamoxifen use. Consider risks and benefits. (5.1, 6.1) 
• 
Decreases in bone mineral density may occur. Consider bone mineral 
density monitoring. (5.2, 6.1) 
• 
Increases in total cholesterol may occur. Consider cholesterol 
monitoring. (5.3, 6.1) 
• 
Embryo-Fetal Toxicity: ARIMIDEX may cause fetal harm. Advise 
patients of the potential risk to a fetus and to use effective contraception. 
(5.4, 8.1)","The warnings for ARIMIDEX include:

Increased incidence of ischemic cardiovascular events in women with pre-existing ischemic heart disease compared to tamoxifen use. Risks and benefits should be considered.
Decreases in bone mineral density may occur, so bone mineral density monitoring should be considered.
Increases in total cholesterol may occur, so cholesterol monitoring should be considered.
ARIMIDEX may cause fetal harm, so patients should be advised of the potential risk to a fetus and to use effective contraception.",0.9406212568283081
"In women with pre-existing ischemic heart disease, an increased 
incidence of ischemic cardiovascular events occurred with ARIMIDEX 
use compared to tamoxifen use. Consider risks and benefits. (5.1, 6.1) 
• 
Decreases in bone mineral density may occur. Consider bone mineral 
density monitoring. (5.2, 6.1) 
• 
Increases in total cholesterol may occur. Consider cholesterol 
monitoring. (5.3, 6.1) 
• 
Embryo-Fetal Toxicity: ARIMIDEX may cause fetal harm. Advise 
patients of the potential risk to a fetus and to use effective contraception. 
(5.4, 8.1)","The precautions for ARIMIDEX include considerations for women with pre-existing ischemic heart disease, monitoring of bone mineral density, monitoring of total cholesterol levels, and advising patients about the potential risk of embryo-fetal toxicity and the need for effective contraception.",0.8546748161315918
"In the early breast cancer (ATAC) study, the most common (occurring with an 
incidence of ?10%) side effects occurring in women taking ARIMIDEX 
included: hot flashes, asthenia, arthritis, pain, arthralgia, pharyngitis, 
hypertension, depression, nausea and vomiting, rash, osteoporosis, fractures, 
back pain, insomnia, headache, peripheral edema and lymphedema, regardless 
of causality. (6.1) 
In the advanced breast cancer studies, the most common (occurring with an 
incidence of >10%) side effects occurring in women taking ARIMIDEX 
included: hot flashes, nausea, asthenia, pain, headache, back pain, bone pain, 
increased cough, dyspnea, pharyngitis and peripheral edema. (6.1) 
To report SUSPECTED ADVERSE REACTIONS, contact ANI 
Pharmaceuticals, Inc. at 1-800-308-6755 or FDA at 1-800-FDA-1088 or 
www.fda.gov/medwatch.","In the document, adverse reactions to ARIMIDEX include hot flashes, asthenia, arthritis, pain, arthralgia, pharyngitis, hypertension, depression, nausea and vomiting, rash, osteoporosis, fractures, back pain, insomnia, headache, peripheral edema, lymphedema, bone pain, increased cough, dyspnea.",0.9016415476799011
"In the early breast cancer (ATAC) study, the most common (occurring with an 
incidence of ?10%) side effects occurring in women taking ARIMIDEX 
included: hot flashes, asthenia, arthritis, pain, arthralgia, pharyngitis, 
hypertension, depression, nausea and vomiting, rash, osteoporosis, fractures, 
back pain, insomnia, headache, peripheral edema and lymphedema, regardless 
of causality. (6.1) 
In the advanced breast cancer studies, the most common (occurring with an 
incidence of >10%) side effects occurring in women taking ARIMIDEX 
included: hot flashes, nausea, asthenia, pain, headache, back pain, bone pain, 
increased cough, dyspnea, pharyngitis and peripheral edema. (6.1) 
To report SUSPECTED ADVERSE REACTIONS, contact ANI 
Pharmaceuticals, Inc. at 1-800-308-6755 or FDA at 1-800-FDA-1088 or 
www.fda.gov/medwatch.","In the document, the side effects of ARIMIDEX include hot flashes, asthenia, arthritis, pain, arthralgia, pharyngitis, hypertension, depression, nausea and vomiting, rash, osteoporosis, fractures, back pain, insomnia, headache, peripheral edema and lymphedema for women taking ARIMIDEX for early breast cancer. For women taking ARIMIDEX for advanced breast cancer, the side effects include hot flashes, nausea, asthenia, pain, headache, back pain, bone pain, increased cough, dyspnea, pharyngitis, and peripheral edema.",0.9370400905609131
"Tamoxifen: Do not use in combination with ARIMIDEX. No additional 
benefit seen over tamoxifen monotherapy. (7.1, 14.1) 
• 
Estrogen-containing products: Combination use may diminish activity of 
ARIMIDEX. (7.2)","Tamoxifen should not be used in combination with ARIMIDEX as no additional benefit is seen over tamoxifen monotherapy. Additionally, combination use of ARIMIDEX with estrogen-containing products may diminish the activity of ARIMIDEX.",0.9755573272705078
"AROMASIN is an aromatase inhibitor indicated for: 
• 
adjuvant treatment of postmenopausal women with estrogen-receptor 
positive early breast cancer who have received two to three years of 
tamoxifen and are switched to AROMASIN for completion of a total of 
five consecutive years of adjuvant hormonal therapy (14.1). 
• 
treatment of advanced breast cancer in postmenopausal women whose 
disease has progressed following tamoxifen therapy (14.2).","The indications for AROMASIN are adjuvant treatment of postmenopausal women with estrogen-receptor positive early breast cancer who have received two to three years of tamoxifen and are switched to AROMASIN for completion of a total of five consecutive years of adjuvant hormonal therapy, as well as treatment of advanced breast cancer in postmenopausal women whose disease has progressed following tamoxifen therapy.",0.9282163381576538
"AROMASIN is an aromatase inhibitor indicated for: 
• 
adjuvant treatment of postmenopausal women with estrogen-receptor 
positive early breast cancer who have received two to three years of 
tamoxifen and are switched to AROMASIN for completion of a total of 
five consecutive years of adjuvant hormonal therapy (14.1). 
• 
treatment of advanced breast cancer in postmenopausal women whose 
disease has progressed following tamoxifen therapy (14.2).","The document states that the usage of AROMASIN is for the adjuvant treatment of postmenopausal women with estrogen-receptor positive early breast cancer who have received two to three years of tamoxifen and are switched to AROMASIN for completion of a total of five consecutive years of adjuvant hormonal therapy, as well as for the treatment of advanced breast cancer in postmenopausal women whose disease has progressed following tamoxifen therapy.",0.9101029634475708
Recommended Dose: One 25 mg tablet once daily after a meal (2.1).,The dosage for AROMASIN is one 25 mg tablet once daily after a meal.,0.7121191024780273
"Reductions in bone mineral density (BMD) over time are seen with 
exemestane use (5.1). 
• 
Routine assessment of 25-hydroxy vitamin D levels prior to the start of 
aromatase inhibitor treatment should be performed (5.2). 
• 
Embryo-Fetal Toxicity: Can cause fetal harm. Advise females of 
reproductive potential of the potential risk to a fetus and to use effective 
contraception (5.6, 8.1, 8.3).","The warnings for AROMASIN include reductions in bone mineral density over time with exemestane use, the recommendation for routine assessment of 25-hydroxy vitamin D levels prior to starting aromatase inhibitor treatment, and the potential for embryo-fetal toxicity, advising females of reproductive potential to use effective contraception.",0.8436120748519897
"Reductions in bone mineral density (BMD) over time are seen with 
exemestane use (5.1). 
• 
Routine assessment of 25-hydroxy vitamin D levels prior to the start of 
aromatase inhibitor treatment should be performed (5.2). 
• 
Embryo-Fetal Toxicity: Can cause fetal harm. Advise females of 
reproductive potential of the potential risk to a fetus and to use effective 
contraception (5.6, 8.1, 8.3).", Embryo-Fetal Toxicity: Can cause fetal harm. Advise females of reproductive potential of the potential risk to a fetus and to use effective contraception.,0.5164412260055542
"Early breast cancer: Adverse reactions occurring in ?10% of patients in 
any treatment group (AROMASIN vs. tamoxifen) were hot flushes (21% 
vs. 20%), fatigue (16% vs. 15%), arthralgia (15% vs. 9%), headache (13% 
vs. 11%), insomnia (12% vs. 9%), and increased sweating (12% vs. 10%). 
Discontinuation rates due to AEs were similar between AROMASIN and 
tamoxifen (6% vs. 5%). Incidences of cardiac ischemic events 
(myocardial infarction, angina, and myocardial ischemia) were 
AROMASIN 1.6%, tamoxifen 0.6%. Incidence of cardiac failure: 
AROMASIN 0.4%, tamoxifen 0.3% (6, 6.1). 
• 
Advanced breast cancer: Most common adverse reactions were mild to 
moderate and included hot flushes (13% vs. 5%), nausea (9% vs. 5%), 
fatigue (8% vs. 10%), increased sweating (4% vs. 8%), and increased 
appetite (3% vs. 6%) for AROMASIN and megestrol acetate, respectively 
(6, 6.1). 
To report SUSPECTED ADVERSE REACTIONS, contact Pfizer Inc at 
1-800-438-1985 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch.","The document lists the adverse reactions associated with AROMASIN use in patients with early breast cancer and advanced breast cancer. These include hot flushes, fatigue, arthralgia, headache, insomnia, increased sweating, nausea, and increased appetite, among others.",0.7469203472137451
